lon,lat,x_utm_km,y_utm_km,n_events,n_online,proportion,hlogit
-51.525000000000006,-28.824999999999996,448.7787579901836,6811.289487351468,1618,796.0,0.4919653893695921,-0.032121353289423726
-53.675000000000004,-29.525,240.73385627787744,6730.862654436379,2556,2309.0,0.9033646322378717,2.233375747861915
-54.075,-29.674999999999997,202.38840757665446,6713.270159170278,7701,6987.0,0.9072847682119205,2.2802951200934323
-51.625,-28.275,438.70446078974646,6872.175489241358,963,154.0,0.15991692627206647,-1.6562226767798898
-51.525000000000006,-27.974999999999998,448.3683595242501,6905.456038164203,139,18.0,0.12949640287769784,-1.8821435306963241
-53.375,-32.224999999999994,276.1902530844691,6432.149911357655,83,1.0,0.012048192771084338,-4.007333185232471
-49.875,-29.574999999999996,608.9666134834524,6727.77852870154,160,136.0,0.85,1.717651497074333
-55.125,-29.624999999999996,100.48835285977897,6715.6496749827265,165,159.0,0.9636363636363636,3.200241745323308
-51.475,-27.574999999999996,453.1145414639947,6949.78563917497,586,0.0,0.0,-7.067319848653476
-54.225,-31.424999999999997,193.42144876628393,6518.794312323634,32,27.0,0.84375,1.6094379124341003
-53.725,-29.474999999999998,235.75596442427008,6736.293223440119,44,42.0,0.9545454545454546,2.833213344056216
-51.125,-30.224999999999998,487.9713238300899,6656.275792391786,101,96.0,0.9504950495049505,2.864794916106515
-51.075,-29.275,492.7144231940344,6761.54378396421,937,39.0,0.0416221985058698,-3.1244260343165373
-50.275000000000006,-29.924999999999997,569.9780369670126,6689.304333236033,5448,4881.0,0.8959251101321586,2.1519670793101686
-52.775000000000006,-31.924999999999997,332.19351078147605,6466.5026442614835,245,220.0,0.8979591836734694,2.1572192427225203
-51.375,-27.525,462.9684899603736,6955.357996671249,332,6.0,0.018072289156626505,-3.9166277718148943
-51.975,-27.775,403.934516563065,6927.340705406567,282,233.0,0.8262411347517731,1.5512094075343075
-52.825,-29.674999999999997,323.3969298183384,6715.833631484687,4508,3692.0,0.8189884649511979,1.5090321019950153
-51.975,-28.724999999999998,404.7823115617901,6822.092013953294,994,915.0,0.920523138832998,2.443713342454279
-53.075,-31.525,302.98181748586404,6510.346625218312,233,21.0,0.09012875536480687,-2.2908890532308543
-54.125,-31.224999999999998,202.3025612114109,6541.250782305395,31,30.0,0.967741935483871,3.0122615755052013
-50.575,-29.674999999999997,541.1233645719174,6717.150882681894,983,924.0,0.9399796541200407,2.7432767382755956
-49.925000000000004,-29.324999999999996,604.3789287422278,6755.526687326277,55,0.0,0.0,-4.709530201312334
-53.325,-29.674999999999997,275.0003554767259,6714.965508087183,36,35.0,0.9722222222222222,3.164067588373206
-55.675000000000004,-29.074999999999996,44.71603992538585,6774.665928315414,70,0.0,0.0,-4.948759890378168
-52.975,-29.824999999999996,309.1632592664247,6698.969557419873,952,829.0,0.8707983193277311,1.9045819535624673
-51.525000000000006,-29.724999999999998,449.2255766695449,6711.57089459668,11973,10233.0,0.8546730142821348,1.7714942241680105
-55.675000000000004,-29.724999999999998,47.61224079742859,6702.522119561219,105,43.0,0.4095238095238095,-0.3624056186477175
-51.525000000000006,-28.074999999999996,448.41605404561705,6894.378223937912,44,13.0,0.29545454545454547,-0.8472978603872037
-53.375,-33.525,279.43584474463637,6287.983407242346,438,371.0,0.8470319634703196,1.7054212662793298
-50.675000000000004,-30.224999999999998,531.274629055052,6656.2377460540965,216,182.0,0.8425925925925926,1.6657908489852322
-51.875,-28.474999999999998,414.3461641052061,6849.8657765972,368,12.0,0.03260869565217391,-3.3506055955460954
-51.675000000000004,-28.124999999999996,433.70818121471257,6888.766531279998,179,63.0,0.35195530726256985,-0.6068513671071093
-52.175000000000004,-28.224999999999998,384.7073915756804,6877.313668839019,199,140.0,0.7035175879396985,0.8592311762222165
-51.725,-30.174999999999997,430.19751130339733,6661.600983045596,472,245.0,0.5190677966101694,0.07614670884357011
-50.575,-30.674999999999997,540.7102052451128,6606.338294131188,158,139.0,0.879746835443038,1.9676501356917193
-52.925000000000004,-32.125,318.40561700715006,6444.086293725903,525,462.0,0.88,1.985606651053834
-51.925000000000004,-28.775,409.70852732755685,6816.591173862785,8317,6695.0,0.804977756402549,1.417467489357376
-51.875,-29.724999999999998,415.37488301721754,6711.365822589599,7430,6914.0,0.9305518169582773,2.59430064634502
